BookId,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
308059,The Age of Capital: 1848-1875,Eric Hobsbawm,"Hobsbawm, Eric",,"=""0679772545""","=""9780679772545""",0,4.17,Vintage,Paperback,368,1996,1975,,2016/07/04,"to-read, ghoomakad","to-read (#39), ghoomakad (#38)",to-read,,,,,,,0,,,,,
124509,Smilla's Sense of Snow,Peter Høeg,"Høeg, Peter",Tiina Nunnally,"=""0385315147""","=""9780385315142""",0,3.72,Delta,Paperback,469,1995,1992,,2016/07/04,"to-read, ghoomakad","to-read (#38), ghoomakad (#37)",to-read,,,,,,,0,,,,,
1924433,Gift: The Story Of An Ordinary Woman's Extraordinary Power,Mia Dolan,"Dolan, Mia",,"=""000715450X""","=""9780007154500""",0,4.02,Element,Hardcover,243,2003,2003,,2016/07/04,"to-read, ghoomakad","to-read (#37), ghoomakad (#36)",to-read,,,,,,,0,,,,,
994656,The Pilgrim's Progress,John Bunyan,"Bunyan, John",,"=""0718821645""","=""9780718821647""",0,3.96,Lutterworth Press,Hardcover,,,1678,,2016/07/04,"to-read, ghoomakad","to-read (#36), ghoomakad (#35)",to-read,,,,,,,0,,,,,
13479026,The Mahabharata: Draupadi's Marriage and Other Selections,Bibek Debroy,"Debroy, Bibek",,"=""0143416022""","=""9780143416029""",0,3.33,Penguin Books India,Paperback,144,,,,2016/07/04,"to-read, ghoomakad","to-read (#35), ghoomakad (#34)",to-read,,,,,,,0,,,,,
51210,A Streetcar Named Desire and Other Plays,Tennessee Williams,"Williams, Tennessee",,"=""0141182563""","=""9780141182568""",0,4.13,Penguin Books,Paperback,313,2000,1965,,2016/07/04,"to-read, ghoomakad","to-read (#34), ghoomakad (#33)",to-read,,,,,,,0,,,,,
1317696,The Enchantress Of Florence,Salman Rushdie,"Rushdie, Salman",,"=""0224061631""","=""9780224061636""",0,3.55,,Hardcover,359,2008,2008,,2016/07/04,"to-read, ghoomakad","to-read (#32), ghoomakad (#31)",to-read,,,,,,,0,,,,,
487714,The Inspector Ghote Mysteries: an Omnibus,H.R.F. Keating,"Keating, H.R.F.",,"=""0330348566""","=""9780330348560""",0,5.00,Pan Books,Paperback,704,1996,1996,,2016/07/04,"to-read, ghoomakad","to-read (#33), ghoomakad (#32)",to-read,,,,,,,0,,,,,
8049185,The White Woman on the Green Bicycle,Monique Roffey,"Roffey, Monique",,"=""1847395228""","=""9781847395221""",0,3.43,Simon & Schuster,Paperback,440,2010,2009,,2016/07/04,"to-read, ghoomakad","to-read (#31), ghoomakad (#30)",to-read,,,,,,,0,,,,,
1298917,The Romance of King Arthur,Thomas Malory,"Malory, Thomas",Arthur Rackham,"=""1858911125""","=""9781858911120""",0,3.96,Studio Editions,,517,1994,1917,,2016/07/04,"to-read, ghoomakad","to-read (#30), ghoomakad (#29)",to-read,,,,,,,0,,,,,
199514,Hatha Yoga Pradipika,Muktibodhananda Saraswati,"Saraswati, Muktibodhananda",Svātmārāma,"=""8185787387""","=""9788185787381""",0,4.24,Bihar School of Yoga,Paperback,642,1998,1998,,2016/07/04,"to-read, ghoomakad","to-read (#29), ghoomakad (#28)",to-read,,,,,,,0,,,,,
694316,Holy Fools,Joanne Harris,"Harris, Joanne",,"=""0552151408""","=""9780552151405""",0,3.58,Black Swan,Paperback,,2004,2003,,2016/07/04,"to-read, ghoomakad","to-read (#28), ghoomakad (#27)",to-read,,,,,,,0,,,,,
437143,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""0552997048""","=""9780552997041""",0,4.18,Black Swan,Paperback,687,2004,2003,,2016/07/04,"to-read, ghoomakad","to-read (#27), ghoomakad (#26)",to-read,,,,,,,0,,,,,
599660,The Undercover Economist,Tim Harford,"Harford, Tim",,"=""0349119856""","=""9780349119854""",0,3.78,Abacus,Paperback,278,2007,2005,,2016/07/04,"to-read, ghoomakad","to-read (#26), ghoomakad (#25)",to-read,,,,,,,0,,,,,
423092,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Stephen Raw","=""0618002227""","=""9780618002221""",0,4.32,Houghton Mifflin Harcourt,Paperback,407,1999,1954,,2016/07/04,"to-read, ghoomakad","to-read (#25), ghoomakad (#24)",to-read,,,,,,,0,,,,,
